,code
1526,600335
1527,600333
1528,600332
1529,600331
1530,600330
1531,600329
1532,600328
1533,600327
1534,600326
1535,600325
1536,600323
1537,600322
1538,600321
1539,600320
1540,600319
1541,600318
1542,600317
1543,600316
1544,600315
1545,600313
1546,600312
1547,600311
1548,600310
1549,600309
1550,600308
1551,600307
1552,600306
1553,600305
1554,600303
1555,600302
1556,600301
1557,600300
1558,600299
1559,600298
1560,600297
1561,600295
1562,600293
1563,600292
1564,600291
1565,600290
1566,600289
1567,600288
1568,600287
1569,600285
1570,600284
1571,600283
1572,600282
1573,600281
1574,600280
1575,600279
1576,600278
1577,600277
1578,600276
1579,600275
1580,600273
1581,600272
1582,600271
1583,600269
1584,600268
1585,600267
1586,600266
1587,600265
1588,600262
1589,600261
1590,600260
1591,600259
1592,600258
1593,600257
1594,600256
1595,600255
1596,600252
1597,600251
1598,600250
1599,600249
1600,600248
1601,600247
1602,600246
1603,600243
1604,600242
1605,600241
1606,600239
1607,600238
1608,600237
1609,600236
1610,600235
1611,600234
1612,600233
1613,600232
1614,600231
1615,600230
1616,600229
1617,600228
1618,600227
1619,600226
1620,600225
1621,600223
1622,600222
1623,600221
1624,600220
1625,600219
1626,600218
1627,600217
1628,600216
1629,600215
1630,600213
1631,600212
1632,600211
1633,600210
1634,600209
1635,600208
1636,600207
1637,600206
1638,600203
1639,600202
1640,600201
1641,600200
1642,600199
1643,600198
1644,600197
1645,600196
1646,600195
1647,600193
1648,600192
1649,600191
1650,600190
1651,600189
1652,600188
1653,600187
1654,600186
1655,600185
1656,600184
1657,600183
1658,600182
1659,600180
1660,600179
1661,600178
1662,600177
1663,600176
1664,600173
1665,600172
1666,600171
1667,600170
1668,600169
1669,600168
1670,600167
1671,600166
1672,600165
1673,600163
1674,600162
1675,600161
1676,600160
1677,600159
1678,600158
1679,600157
1680,600156
1681,600155
1682,600153
1683,600152
1684,600151
1685,600150
1686,600149
1687,600148
1688,600146
1689,600145
1690,600143
1691,600141
1692,600139
1693,600138
1694,600137
1695,600136
1696,600135
1697,600133
1698,600132
1699,600131
1700,600130
1701,600129
1702,600128
1703,600127
